personid,treatment,ordertaker,type,quitjob,age,costofcommute,children,male,married,perform_prior,perform_post,prior_experience,tenure,basewage,bonus,grosswage,ageyoungestchild,rental,bedroom,second_technical,high_school,tertiary_technical,university,internet,phonecalls_prior,phonecalls_post
15444,0,TRUE,1,0,27,11.81818199,0,0,1,0.088463545,-0.063838467,0,49,1650,1208.666626,3271.780029,0,1,1,0,0,1,0,1,14.609,10.58
16334,0,TRUE,1,1,30,25,1,1,1,0.917839587,-0.283741087,0,47,1633.333374,1647,3429.502197,0,0,1,0,0,1,0,1,28.4,1.485
16422,0,TRUE,1,1,29,10,1,0,1,-0.71160841,-1.320597291,40,47,1600,535.222229,2239.627686,7,0,1,0,0,1,0,1,12,0.812
16424,0,TRUE,1,0,22,6,0,0,0,0.050123475,-0.550508559,0,47,1600,1319.222168,3130.176758,0,0,1,1,0,0,0,1,21.084,12.407
16514,1,TRUE,1,0,28,4,0,1,0,-0.236307591,0.121747322,0,47,1550,677.555542,2392.06665,0,0,1,0,1,0,0,1,18.464,14.761
16594,0,TRUE,1,0,29,20,1,0,1,0.713614941,0.200290099,96,47,1550,1862.333374,3604.297852,1,0,1,0,0,0,1,1,20.441,6.802
16596,1,TRUE,1,0,34,5,1,1,1,1.118629932,0.619754493,119,47,1650,2797.777832,4726.034668,3,0,1,0,0,0,1,1,27.084,18.361
17058,0,FALSE,2,1,23,8,0,0,0,-0.9042781,-0.450157315,0,46,1600,793.555542,2623,0,0,1,1,0,0,0,1,0,0
17160,0,TRUE,1,0,27,10,1,1,1,0.461394757,0.278352767,24,46,1650,1313.777832,3390.243408,0,0,1,0,0,1,0,1,14.113,9.439
17172,0,FALSE,4,0,28,12,0,0,0,0.401106209,-0.689308286,48,46,1600,2711.222168,4641.931152,0,0,1,0,0,1,0,1,0,0
17722,1,FALSE,2,0,24,0,0,1,0,-1.057340622,-1.281516552,24,45,1650,2000.333374,4195.180176,0,0,1,1,0,0,0,1,0,0
17752,1,FALSE,2,0,25,0,0,1,0,0.462815195,0.375856757,0,45,1650,1438,3548.963379,0,0,1,0,0,1,0,1,0,0
17812,0,FALSE,4,0,28,12,1,1,1,-0.190205932,-0.427040905,24,45,2566.666748,1670.888916,4705.160156,2,0,1,0,1,0,0,1,0,0
17906,1,TRUE,1,0,27,14,0,0,1,-0.781470895,0.19852066,36,45,1600,646.777771,2503.814453,0,0,1,0,0,1,0,1,8.745,5.872
18112,1,FALSE,3,0,27,8,0,0,0,-0.061767481,0.330992609,24,44,1650,917.222229,2786.255615,0,0,1,0,0,1,0,1,0,0
18494,0,FALSE,3,0,31,15,0,1,0,-0.500678182,-0.421231329,120,44,1600,1012.222229,3212.925537,0,0,1,1,0,0,0,1,0,0
18502,0,FALSE,2,0,26,9,0,1,1,-0.729847312,-0.243165016,0,44,1600,199.4444427,2313.166748,0,0,1,1,0,0,0,1,0,0
19470,0,TRUE,1,0,25,0,0,0,0,0.011098285,0.5048908,0,42,1650,1512,3500.123291,0,1,1,0,0,1,0,1,21.737,19.112
19482,1,FALSE,4,0,23,12,0,1,0,-0.071804918,-0.961655557,0,42,1850,495.3333435,2713.332275,0,0,1,0,1,0,0,1,0,0
19684,0,FALSE,2,1,22,14,0,0,0,-0.350246757,-0.610263824,0,41,1600,891.222229,2733.752197,0,1,1,0,0,1,0,1,0,0
21604,0,FALSE,2,0,24,16,0,0,0,-0.147362828,0.070158027,12,37,1600,1118.222168,3038.027832,0,0,1,0,1,0,0,1,0,0
21648,0,FALSE,4,0,26,3.5,1,1,1,-0.57803303,-0.875928223,24.88888931,37,1600,851.888916,2644.31665,2,0,1,0,0,0,1,1,0,0
21654,1,TRUE,1,0,29,2,0,0,0,0.62046653,0.830905735,72,37,1650,2156.333252,4101.428711,0,0,1,0,0,1,0,1,23.556,22.083
21710,1,FALSE,4,0,30,4,0,1,1,-0.467031419,-0.758171856,30,37,1600,754.222229,2616.97998,0,0,1,0,0,1,0,1,0,0
22022,0,FALSE,4,0,22,4,0,0,0,0.610499859,-0.701689065,0,36,1755.555542,1287.222168,3456.015625,0,0,1,1,0,0,0,1,0,0
22284,1,TRUE,1,0,21,0,1,0,1,0.629829764,0.495105714,0,36,1600,988.222229,3478.66333,1,1,1,1,0,0,0,1,26.519,19.286
23126,0,FALSE,5,0,23,6,0,0,0,1.181747317,0.626037538,0,35,1600,1737.555542,4254.279785,0,0,1,0,0,1,0,1,0,0
23136,1,TRUE,1,0,22,3,0,1,0,0.128011152,-0.209642991,0,35,1600,656.666687,3175.363281,0,1,1,1,0,0,0,1,23.851,15.495
23228,1,TRUE,1,0,23,0,0,0,1,0.87539351,1.099817872,0,35,1616.666626,1970.888916,3981.625488,0,1,1,0,0,1,0,1,18.727,17.67
23622,1,FALSE,2,0,25,10,0,1,0,1.307885647,1.550839186,0,35,1600,1995.333374,4130.472168,0,0,1,0,0,1,0,1,0,0
23742,0,FALSE,4,0,21,8,0,1,0,-0.630300999,-0.760747015,0,35,1683.333374,803.222229,2544.883301,0,0,1,1,0,0,0,1,0,0
23772,1,TRUE,1,0,21,0,0,1,0,-0.404843748,-0.059034638,12,35,1600,1254.555542,3629.191162,0,1,1,0,0,1,0,1,19.053,17.679
24142,1,FALSE,3,0,29,12,0,0,0,1.192110181,1.374616504,36,34,1600,2965.666748,4945.034668,0,0,1,1,0,0,0,1,0,0
24146,0,FALSE,4,0,24,12,0,1,0,-0.666700721,-1.08181572,3,34,1600,1222.555542,3205.007813,0,0,1,1,0,0,0,1,0,0
24324,1,TRUE,1,1,23,25,0,1,0,-0.276460111,-1.229813457,18,34,1600,591,2526.776611,0,0,1,0,0,1,0,1,20.39,6.495
24608,1,TRUE,1,0,34,3,1,0,1,-0.622545838,-0.359686434,120,34,1650,1399.222168,3828.992188,13,0,1,1,0,0,0,1,14.849,13.082
25056,0,FALSE,2,0,23,2,0,0,0,-0.274410397,-0.177476823,0,33,1600,1049.777832,2868.906738,0,1,1,0,1,0,0,1,0,0
25258,0,FALSE,5,0,26,4,0,1,0,-0.136786744,-0.206387654,0,33,1638.888916,1071.555542,3436.882324,0,0,1,1,0,0,0,1,0,0
25520,1,TRUE,1,0,24,6,0,1,0,-0.765685141,-0.759275138,10,32,1600,1271.444458,3639.196777,0,0,1,1,0,0,0,1,15.563,12.007
25532,1,FALSE,5,0,25,12,0,1,0,-0.445925176,-0.35810113,0,32,1583.333374,1099.555542,3397.091064,0,0,1,1,0,0,0,1,0,0
25628,1,FALSE,2,0,24,10,0,0,0,0.702930331,0.988379061,0,32,1583.333374,1157.333374,3069.671143,0,1,1,1,0,0,0,1,0,0
25638,1,TRUE,1,0,26,10,0,0,0,0.044456609,-0.148000613,7,32,1600,940.888916,2795.324463,0,0,1,0,0,1,0,1,20.757,14.468
25700,1,FALSE,5,0,27,0,0,1,0,-0.7591874,-0.790436566,48,32,1638.888916,811.222229,3188.656738,0,0,1,0,0,1,0,1,0,0
25864,0,TRUE,1,0,20,0,0,0,0,0.532272518,0.812976599,0,31,1650,2199.555664,4334.871094,0,1,1,0,0,1,0,1,18.271,16.844
25940,1,FALSE,4,0,24,10,0,0,1,0.524053574,-0.707302868,24,31,1755.555542,1429.888916,3522.688965,0,0,1,1,0,0,0,1,0,0
25962,1,TRUE,1,0,24,4,1,1,1,-0.239572406,-0.337946534,20,31,1600,1294,3636.547852,1,1,1,0,0,1,0,1,20.816,14.891
26328,1,TRUE,1,0,22,0,0,1,0,-1.231792808,-1.065850139,6,31,1566.666626,1209.888916,3629.965576,0,1,0,1,0,0,0,1,10.366,9.012
26618,1,FALSE,2,0,24,0,0,1,0,-0.78081286,-1.09953022,0,30,1600,1280.888916,3676.338867,0,1,1,1,0,0,0,1,0,0
26634,0,TRUE,1,1,26,2,0,0,0,0.413524956,-0.062037099,60,30,1600,864.888916,2804.932129,0,0,1,0,0,1,0,1,16.887,5.394
26906,0,FALSE,4,1,24,10,0,0,0,0.009408872,-1.160912633,15,30,1755.555542,1194.888916,3297.58667,0,0,1,1,0,0,0,1,0,0
26934,1,TRUE,1,1,24,6,0,0,0,0.34132719,0.733128369,36,30,1600,1488,3424.630127,0,0,1,0,0,1,0,1,22.122,15.33
27704,0,TRUE,1,0,26,4,0,0,0,0.428260326,0.259437025,0,28,1500,909.333313,2699.391113,0,1,1,0,0,1,0,1,24.216,16.764
28190,0,TRUE,1,0,25,10,0,0,0,0.085549563,-0.320819974,18,27,1550,565,2967.481201,0,0,1,1,0,0,0,1,23.567,14.982
28224,0,TRUE,1,0,27,0,1,1,1,0.105935223,-0.066659473,18,27,1550,672.555542,3129.27002,1,1,1,0,1,0,0,1,23.332,16.979
28226,1,FALSE,4,0,23,15,0,1,0,-0.971829772,-0.86684078,15,27,1550,508.222229,2341.689941,0,0,1,1,0,0,0,1,0,0
28470,1,FALSE,2,0,24,30,0,1,0,-0.55329293,0.456983835,0,27,1550,942,3068.024414,0,0,1,0,0,1,0,1,0,0
