personid,treatment,ordertaker,type,quitjob,age,costofcommute,children,male,married,perform_prior,perform_post,prior_experience,tenure,basewage,bonus,grosswage,ageyoungestchild,rental,bedroom,second_technical,high_school,tertiary_technical,university,internet,phonecalls_prior,phonecalls_post
38862,0,TRUE,1,1,19,0,0,0,0,-0.25767687,-0.543493032,0,10,1222.222168,623,2009.252197,0,1,1,1,0,0,0,1,19.784,12.453
38878,1,TRUE,1,0,25,12,0,0,0,0.634949625,0.814960182,12,10,1450,1004.777771,2752.169922,0,0,1,0,0,1,0,1,24.059,18.615
38898,1,TRUE,1,0,22,0,0,0,0,0.1211164,0.370976835,0,10,1450,725.777771,2329.441162,0,0,1,0,0,1,0,1,19.862,16.653
39096,1,TRUE,1,1,25,12,0,1,0,0.233344913,0.006385707,48,10,1450,677.333313,2457.595459,0,0,1,1,0,0,0,1,24.017,17.161
39144,0,TRUE,1,0,18,4,0,0,0,0.206144333,0.109618343,0,10,1222.222168,846.666687,2307.770996,0,0,1,1,0,0,0,1,22.42,15.505
39164,0,TRUE,1,0,19,8,0,1,0,-0.217729464,-0.046197828,0,10,1155.555542,645.333313,1957.436646,0,0,1,1,0,0,0,1,19.901,15.423
39458,0,TRUE,1,0,21,10,0,1,0,-0.312125683,-0.082317956,0,9,1222.222168,596.555542,2032.714478,0,0,1,1,0,0,0,1,19.36,14.964
39466,0,TRUE,1,0,19,6,0,0,0,-0.151331916,-0.218677297,2,9,1450,669.111084,2377.768799,0,0,1,1,0,0,0,1,21.216,14.755
39478,0,TRUE,1,1,22,10,0,0,0,0.152497366,-0.44383359,0,9,1450,823.444458,2486.934326,0,0,1,0,1,0,0,1,22.534,2.82
39490,0,FALSE,3,0,23,10,0,1,0,0.590668797,0.353631496,0,9,1450,1089,2858.081055,0,0,1,1,0,0,0,1,0,0
39502,0,FALSE,3,1,19,30,0,0,0,-0.359173238,-0.904571235,12,9,1450,492.555542,2181.359863,0,0,1,1,0,0,0,1,0,0
39512,1,FALSE,3,0,19,10,0,0,0,0.252319902,0.168503344,0,9,1450,1096.222168,2781.982178,0,1,1,1,0,0,0,1,0,0
39530,1,FALSE,4,1,21,24,0,0,0,-0.121251717,-1.340626001,36,9,1450,1016.777771,2732.236572,0,1,1,1,0,0,0,1,0,0
39548,1,FALSE,3,0,26,8,0,0,0,-0.097418249,-0.003007925,24,9,1450,510.777771,2252.348877,0,0,1,0,0,1,0,1,0,0
39634,1,TRUE,1,0,20,0,0,0,0,1.538920641,1.266280651,0,9,1450,1600.666626,3351.625488,0,1,1,0,1,0,0,1,27.939,19.645
39748,0,FALSE,3,0,22,0,1,0,1,0.413749725,0.228763625,6,9,1450,854.666687,2555.874512,2,0,1,1,0,0,0,1,0,0
39942,1,TRUE,1,1,28,55,1,1,1,-0.641239643,0.072946146,36,9,1433.333374,610.111084,2207.613281,4,0,1,0,0,1,0,1,16.352,12.252
39990,1,TRUE,1,0,24,5,0,1,0,-0.292078227,-0.378918111,36,9,1433.333374,420.6666565,2614.643311,0,0,1,1,0,0,0,1,19.748,13.923
40008,0,TRUE,1,1,20,10,0,1,0,0.738152027,-0.080031879,7,9,1450,911,2668.005615,0,0,1,1,0,0,0,1,28.177,12.506
40034,0,TRUE,1,1,19,10,0,0,0,0.092525721,-0.246908754,12,9,1450,687.888916,2461.830078,0,1,1,1,0,0,0,1,22.101,5.734
40062,1,TRUE,1,1,23,12,0,0,1,0.241641015,-0.152063176,24,9,1433.333374,528.555542,2249.674316,0,0,1,1,0,0,0,1,23.893,4.896
40076,0,FALSE,3,1,24,10,0,1,0,-0.342497647,-1.517895103,60,9,1450,561.333313,2068.122314,0,0,1,1,0,0,0,1,0,0
40162,0,TRUE,1,0,21,6,0,0,0,0.142845348,-0.079422548,3,8,1450,811.111084,2502.530029,0,1,1,0,0,1,0,1,22.656,13.327
40164,1,FALSE,2,0,22,10,0,0,0,0.569583774,-0.223268107,6,8,1433.333374,1276.555542,2739.100098,0,0,1,0,1,0,0,1,0,0
40174,0,TRUE,1,1,28,2,1,1,1,0.071697332,-1.240843296,0,8,1450,740.222229,2406.582275,1,0,1,0,0,1,0,1,22.052,1.916
40192,1,TRUE,1,0,23,12,0,1,0,0.245616361,0.247942701,0,8,1450,779.666687,2411.781006,0,0,1,0,1,0,0,1,22.58,14.751
40316,1,TRUE,1,0,25,4,0,0,0,0.229238078,0.423776329,30,8,1450,808.666687,2529.33667,0,1,1,0,1,0,0,1,21.184,16.178
40320,1,FALSE,2,0,25,5,1,0,1,-1.142095685,-1.174402833,24,8,1433.333374,1514.111084,3141.965576,3,0,1,0,0,1,0,1,0,0
40322,1,TRUE,1,0,24,2,0,0,0,0.148939535,0.014594059,24,8,1450,776.444458,2423.015625,0,0,1,0,1,0,0,1,20.304,15.012
40328,1,TRUE,1,0,22,5,0,1,0,0.948772848,0.098137461,31,8,1450,1085.111084,2808.554443,0,0,1,0,1,0,0,1,26.623,15.088
40334,0,FALSE,2,1,23,20,0,0,0,0.276466697,0.662002683,0,8,1433.333374,1320.888916,3026.83667,0,0,1,1,0,0,0,1,0,0
40336,0,TRUE,1,0,25,6,0,1,0,-0.559072912,-0.828826904,0,8,1433.333374,484.8888855,1821.688843,0,0,1,0,0,1,0,1,13.969,6.921
40346,0,TRUE,1,1,22,4.545454502,0,0,0,-0.371619433,-1.413238645,24,8,1433.333374,624.444458,2301.397705,0,0,1,1,0,0,0,1,17.748,2.602
40444,1,FALSE,5,0,34,4,1,1,1,0.668151855,0.699055195,108,8,1522.222168,2225.222168,4579.092285,6,0,1,0,1,0,0,1,0,0
40456,0,TRUE,1,0,23,12,0,1,0,0.267997116,0.153233021,20,8,1433.333374,599.333313,2968.241211,0,1,1,0,0,1,0,1,24.967,18.21
40472,1,TRUE,1,0,25,4,0,0,0,0.482449681,0.70503813,12,8,1450,983.666687,2799.73999,0,1,1,1,0,0,0,1,24.817,21.244
40490,1,TRUE,1,0,21,10,0,1,0,-0.094636105,-0.122932225,5,8,1450,452.1111145,2299.736572,0,0,1,0,1,0,0,1,20.201,15.268
41286,1,TRUE,1,0,23,10,0,1,0,-0.02529658,-0.240388051,12,6,1466.666626,508.555542,2232.054443,0,0,1,0,0,1,0,1,20.77,12.475
41318,1,FALSE,2,0,22,10,0,0,0,-1.259604335,-0.013943321,0,6,1466.666626,746.444458,2894.498779,0,0,1,1,0,0,0,1,0,0
41320,1,TRUE,1,1,22,10,0,1,0,-0.319064647,-0.533805609,36,6,1411.111084,433.3333435,2035.727783,0,0,1,1,0,0,0,1,18.64,1.303
41332,0,TRUE,1,1,22,6,0,1,0,-0.392119348,-1.626941562,36,6,1422.222168,507.6666565,2218.474365,0,0,1,1,0,0,0,1,18.697,1.434
41818,1,FALSE,2,0,23,0,0,0,0,-0.121341206,-0.366331637,0,6,1422.222168,194.777771,1567.638916,0,1,1,0,0,1,0,1,0,0
42096,0,TRUE,1,1,23,8,0,1,0,-0.366249233,-1.271169782,0,5,1411.111084,405.8888855,1933.832275,0,0,1,0,1,0,0,1,18.051,0.123
42104,1,TRUE,1,1,21,0,0,0,0,-0.33475247,-0.486724943,0,5,1411.111084,481.555542,2036.873413,0,1,1,0,1,0,0,1,18.151,4.907
42108,1,TRUE,1,0,23,12,0,1,0,0.335415274,0.433293611,20,5,1411.111084,620.666687,2180.999023,0,0,1,1,0,0,0,1,21.991,16.441
42140,0,FALSE,2,0,25,15,1,1,1,-0.07073494,1.01025784,36,5,1466.666626,632.777771,2099.151123,0,0,1,1,0,0,0,1,0,0
42146,0,FALSE,2,0,21,4,0,1,0,-0.04130923,0.042883005,0,5,1411.111084,1008.888916,2605.56665,0,0,1,1,0,0,0,1,0,0
42152,0,TRUE,1,0,25,20,0,1,0,0.178749159,0.10926608,48,5,1411.111084,624.444458,2279.654541,0,0,1,1,0,0,0,1,21.998,15.047
42308,1,TRUE,1,0,23,12,0,0,1,-0.115611389,-0.857324958,0,5,1411.111084,512.444458,2177.773438,0,0,1,0,0,1,0,1,18.747,2.686
42592,1,TRUE,1,0,23,8,0,0,0,0.042018514,-0.20933336,36,4,1466.666626,476.8888855,2166.09668,0,0,1,1,0,0,0,1,19.418,14.111
42618,1,TRUE,1,1,22,2,0,1,0,-0.957539439,-1.209226608,0,4,1466.666626,496.777771,2499.166748,0,0,1,0,0,1,0,1,13.275,1.414
42624,1,TRUE,1,0,23,10,0,0,0,0.323747039,0.704425156,24,4,1466.666626,543,2116.958984,0,0,1,0,1,0,0,1,20.849,16.741
42628,1,TRUE,1,0,22,10,0,1,0,-0.379552871,-0.041888136,24,4,1466.666626,681.222229,2669.817871,0,0,1,1,0,0,0,1,17.589,15.874
42632,0,TRUE,1,0,21,12,0,0,0,0.122516744,-0.199649617,0,4,1466.666626,493.1111145,2136.527832,0,0,1,0,1,0,0,1,19.829,12.916
42634,0,TRUE,1,1,20,0,0,1,0,-1.007796884,-0.83139205,0,4,1466.666626,440.6666565,2389.044434,0,1,1,0,0,1,0,1,12.737,10.051
42682,0,TRUE,1,1,22,16,0,0,1,0.380232185,-1.729744077,0,4,1466.666626,613.777771,2216.567871,0,0,1,0,1,0,0,1,21.539,0
43258,0,TRUE,1,0,22,8,0,1,0,-0.811179399,-0.653968692,12,3,1457.142822,483.8571472,2534.300049,0,0,1,1,0,0,0,1,12.516,12.952
43264,1,TRUE,1,0,22,12,0,1,0,-1.192137241,-0.736210763,0,3,1300,377.1428528,2183.431396,0,0,1,0,0,1,0,1,9.681,11.776
43270,1,FALSE,2,0,25,16,0,0,0,-0.986463726,-1.062934875,60,3,1457.142822,1003.428589,2600.718506,0,0,1,0,1,0,0,1,0,0
43278,1,FALSE,2,0,23,10,0,0,0,-0.398911297,-0.105686389,12,3,1457.142822,238,1896.497192,0,0,1,0,0,1,0,1,0,0
43286,1,FALSE,2,0,20,5,0,0,0,-0.066075318,-0.078662932,0,3,1457.142822,544.7142944,2340.459961,0,0,1,1,0,0,0,1,0,0
43288,1,TRUE,1,1,21,6,0,1,0,-1.092902064,-1.464970231,18,3,1471.428589,308.5714417,2306.108643,0,1,1,1,0,0,0,1,10.126,2.508
43500,0,FALSE,2,0,27,10,1,0,1,0.279303551,1.299349427,60,3,1457.142822,924.1428833,2696.022705,3,0,1,0,0,1,0,1,0,0
43524,0,TRUE,1,1,24,10,0,1,0,-0.964280307,-0.959184468,30,3,1457.142822,405.4285583,2344.969971,0,0,1,1,0,0,0,1,10.251,3.569
43534,1,TRUE,1,0,23,10,0,1,0,-0.639461815,-0.185273886,0,3,1457.142822,436.1428528,2338.098633,0,0,1,0,0,1,0,1,11.666,14.454
43570,0,TRUE,1,0,18,12,0,1,0,-0.879110396,-0.938617051,7,3.5,1400,316.5,2426.42334,0,0,1,1,0,0,0,1,12.262,11.896
43926,1,TRUE,1,0,22,0,0,1,0,-0.640905797,-0.63847065,24,3,1500,680.5999756,2893.11792,0,0,1,1,0,0,0,1,11.454,12.542
44256,0,FALSE,2,1,21,0,0,0,0,-0.768759727,-0.802928686,0,2.5,1500,335.6666565,1863.91333,0,0,1,1,0,0,0,1,0,6.088
44266,1,TRUE,1,0,19,17,0,1,0,-1.196607709,-0.782588243,0,2.5,1500,266.6666565,2146.264893,0,0,1,1,0,0,0,1,8.661,10.631
44282,0,TRUE,1,0,20,12,0,0,0,-0.317860454,-0.301822484,0,2.5,1500,294.5,1900.891602,0,0,1,1,0,0,0,1,12.348,13.213
44408,1,TRUE,1,0,22,10,0,0,0,-0.333028793,0.377931088,40,2.5,1500,138.5,1643.130005,0,0,1,1,0,0,0,1,11.786,17.3
44782,1,TRUE,1,0,23,0,0,1,0,-0.131772235,0.033910565,48,2,1500,621.7999878,2788.109863,0,0,1,1,0,0,0,1,11.943,15.912
44784,1,TRUE,1,0,31,0,0,1,0,-0.743817627,-0.540330946,6,2,1500,320,2499.689941,0,0,1,0,0,1,0,1,8.755,12.475
44794,0,TRUE,1,1,23,10,0,1,0,-1.071876764,-1.86711061,24,3,1500,191.3333282,2493.17334,0,0,1,1,0,0,0,1,8.057,0.539
44800,0,TRUE,1,0,25,12,0,1,0,-0.361350089,-0.542777598,5,2,1500,587.5999756,2742.290039,0,0,1,0,0,1,0,1,11.345,12.975
45238,1,FALSE,2,0,22,4,0,1,0,-0.044172138,0.680168629,0,2,1500,123.1999969,1678.546021,0,1,1,1,0,0,0,1,0,0
45254,0,TRUE,1,0,23,4,0,1,0,-1.101897836,-1.1610111,24,2,1500,164.6000061,1908.323975,0,0,1,0,0,1,0,1,7.467,9.589
45442,0,TRUE,1,0,22,0,0,1,0,-0.993134797,-1.020809293,36,2.5,1500,270.25,2478.870117,0,0,1,1,0,0,0,1,7.527,10.459
